#separator:tab
#html:true
#deck:AI Digital Characters::01_Affective_Computing
Front	Back	Tags
What is the sequence in the James-Lange theory of emotion?	<b>Stimulus → Physiological response → Emotion</b><br>Example: see snake → heart races → feel fear.<br><br><small><i>Source: solution_ex1:2a, exam2024:Q1c</i></small>	type:basic batch:1 priority:high
What is the Cannon-Bard theory of emotion?	Physiological arousal and emotional experience occur <b>simultaneously</b> — both triggered by the stimulus in parallel (not sequentially).<br><br><small><i>Source: solution_ex1:2a, exam2025:Q2a</i></small>	type:basic batch:1 priority:high
What is the Schachter-Singer (two-factor) theory of emotion?	Emotion = <b>physiological arousal</b> + <b>cognitive interpretation</b> of the situation. Same arousal can yield different emotions depending on context.<br><br><small><i>Source: solution_ex1:2a, exam2025:Q2a</i></small>	type:basic batch:1
In the dimensional model, define valence, arousal, and dominance.	<b>Valence:</b> pleasantness (+/−)<br><b>Arousal:</b> intensity/activation<br><b>Dominance:</b> sense of control vs. helplessness<br><br><small><i>Source: solution_ex1:2b</i></small>	type:basic batch:1
"Anxious, tense, and helpless" — dimensional description?	<b>Negative valence</b>, <b>high arousal</b>, <b>low dominance</b> (feeling overwhelmed, not in control).<br><br><small><i>Source: exam2025:Q2b</i></small>	type:basic batch:1 priority:high
What are Action Units (AUs)?	Specific <b>facial muscle movements</b> from the Facial Action Coding System (FACS). Used to detect facial expressions linked to emotions.<br><br><small><i>Source: solution_ex1:1b, exam2024:Q2a</i></small>	type:basic batch:1
What does HRV (heart rate variability) measure and what does higher HRV suggest?	HRV = variation in beat-to-beat intervals.<br><b>Higher HRV</b> → more relaxed/adaptive autonomic state, often linked to positive emotion and stress resilience.<br><br><small><i>Source: solution_ex1:2d, exam2024:Q2b</i></small>	type:basic batch:1
What does skin conductance (SC) measure?	Electrodermal activity — sweat gland activity reflecting <b>sympathetic arousal</b>. Used as arousal indicator in affective computing.<br><br><small><i>Source: exam2024:Q2b, L02:skin_conductance</i></small>	type:basic batch:1
Name the four features of a phasic skin conductance response.	<b>Amplitude</b> — peak height<br><b>Latency</b> — time from stimulus to response onset<br><b>Rise time</b> — time to peak<br><b>Half-recovery time</b> — time from peak to 50% recovery<br><br><small><i>Source: exam2024:Q2c, L02:skin_conductance</i></small>	type:basic batch:1 priority:high
How is SC decomposed into phasic and tonic components?	Using <b>convex optimization</b> to separate fast event-related phasic responses from slow tonic baseline drift.<br><br><small><i>Source: exam2024:Q1d, L02:skin_conductance</i></small>	type:basic batch:1
Ekman's six basic emotions?	Joy, Sadness, Disgust, Surprise, Anger, Fear<br><br><small><i>Source: L02:basic_emotions</i></small>	type:basic batch:2
Which Action Units indicate Happiness (Ekman/FACS)?	<b>AU6</b> (Cheek Raiser) + <b>AU12</b> (Lip Corner Puller)<br><br><small><i>Source: L02:AU_table</i></small>	type:basic batch:2
Which Action Units indicate Surprise?	<b>AU1</b> (Inner Brow Raiser) + <b>AU2</b> (Outer Brow Raiser) + <b>AU5</b> (Upper Lid Raiser) + <b>AU26</b> (Jaw Drop)<br><br><small><i>Source: L02:AU_table</i></small>	type:basic batch:2
Mouth Aspect Ratio (MAR) formula?	MAR = (|p₂−p₈| + |p₃−p₇| + |p₄−p₆|) / (3 · |p₅−p₁|)<br>Uses facial landmarks; measures mouth openness.<br><br><small><i>Source: L02:MAR, exam2024:Q2a</i></small>	type:basic batch:2
How is fidgeting detected from video? (4 steps)	1. f_temp = f_gray − b_gray<br>2. Binarize f_temp (threshold)<br>3. Energy E = % surviving pixels<br>4. Update background: b = (1−α)b + α·f_gray<br><br><small><i>Source: L02:fidgeting, solution_ex1:2c</i></small>	type:basic batch:2 priority:high
Exercise 1 fidgeting: 9 pixels, 8 survive threshold. Compute Energy E (%).	E = (surviving pixels / total pixels) × 100 = 8/9 × 100 = <b>88.89%</b><br><br><small><i>Source: solution_ex1:2c</i></small>	type:calc batch:2
What does OpenFace output?	68 facial landmarks, AU intensities [0,5], AU presence (binary), eye gaze, head pose.<br><br><small><i>Source: L02:OpenFace</i></small>	type:basic batch:2
How are eye blinks detected?	Based on <b>AU45</b> (eye blink), evaluated per frame — intensity and blink events.<br><br><small><i>Source: L02:eye_blinks</i></small>	type:basic batch:2
Give examples of non-invasive vs. invasive emotion sensing.	<b>Non-invasive:</b> facial video, speech, text, ECG/SC on skin surface.<br><b>Invasive:</b> hormone levels, neurotransmitter levels (blood/internal).<br><br><small><i>Source: L02:emotion_recognition, solution_ex1:1a</i></small>	type:basic batch:2
ECG vs. PPG — what does each measure?	<b>ECG:</b> electrical activity of heart from skin electrodes.<br><b>PPG:</b> light reflected by blood vessels (can use webcam on skin/pupil).<br><br><small><i>Source: L02:cardiac</i></small>	type:basic batch:2
Name three time-domain HRV measures.	1. Standard deviation of R-R intervals<br>2. RMSSD (root mean square of successive differences)<br>3. pNN50 (% successive RR diffs > 50 ms)<br><br><small><i>Source: L02:HRV</i></small>	type:basic batch:2
Exercise 1 HRV: seq1={72,75,70,73,76}. Compute mean and σ (std dev).	Mean x̄ = 366/5 = <b>73.2</b><br>σ = √(22.8/5) ≈ <b>2.14</b> → lower HRV, possibly stress/anxiety.<br><br><small><i>Source: solution_ex1:2d</i></small>	type:calc batch:2
Exercise 1 HRV: seq2={74,71,76,79,80}. Compute σ.	Mean x̄ = <b>76</b><br>σ = √(54/5) ≈ <b>3.29</b> → higher HRV, relaxed/adaptive state.<br><br><small><i>Source: solution_ex1:2d</i></small>	type:calc batch:2
Tonic vs. phasic skin conductance?	<b>Tonic:</b> slow baseline level (overall arousal).<br><b>Phasic:</b> fast event-related responses (peaks after stimuli). Decomposed via convex optimization (cvxEDA).<br><br><small><i>Source: L02:skin_conductance, exam2024:Q1d</i></small>	type:basic batch:2 priority:high
Artifact detection for R-R intervals: define QD, MAD, MED, CBD.	QD = (Q3−Q1)/2<br>MAD = (Median Beat − 2.9·QD)/3<br>MED = 3.32·QD<br>CBD = (MAD + MED)/2<br>If |RRᵢ − last valid| > CBD → artifact.<br><br><small><i>Source: L02:artifact_detection, exam2025:Q2c</i></small>	type:basic batch:2 priority:high
