#separator:tab
#html:true
Front	Back	Tags	Deck
The Mel scale is a linear scale that maps frequency to pitch in speech recognition.	<b>FALSE</b><br>Mel is a <b>logarithmic/perceptual</b> scale: Mel = 1127·ln(1 + f/700). It approximates human pitch perception.<br><br><small><i>Source: exam2024:Q1a, L04:mel</i></small>	type:mc batch:1 exam2024 priority:high	AI Digital Characters::00_Exam_MC_Traps
The RNN-Transducer model is designed for offline decoding and does not support streaming speech recognition.	<b>FALSE</b><br>RNN-T <b>supports streaming/online</b> decoding via the prediction network and joint network with blank tokens.<br><br><small><i>Source: exam2024:Q1b, L04:architectures</i></small>	type:mc batch:1 exam2024 priority:high	AI Digital Characters::00_Exam_MC_Traps
According to the James-Lange theory, the perception of an emotion-arousing stimulus leads simultaneously to the experience of emotion and physiological (bodily) changes.	<b>FALSE</b><br>James-Lange: <b>Stimulus → Physiological response → Emotion</b> (sequential). Simultaneous emotion + body is Cannon-Bard.<br><br><small><i>Source: exam2024:Q1c, solution_ex1:2a</i></small>	type:mc batch:1 exam2024 priority:high	AI Digital Characters::00_Exam_MC_Traps
Using convex optimization, a skin conductance signal can be decomposed into phasic and tonic components.	<b>TRUE</b><br>SC decomposition into fast phasic (event-related) and slow tonic (baseline) components uses convex optimization (lecture L02).<br><br><small><i>Source: exam2024:Q1d, L02:skin_conductance</i></small>	type:mc batch:1 exam2024 priority:high	AI Digital Characters::00_Exam_MC_Traps
In the transformer model, positional encoding is used to provide the model with information about the order of tokens in the input sequence.	<b>TRUE</b><br>Self-attention is permutation-invariant; positional encodings inject <b>token position</b> information.<br><br><small><i>Source: exam2024:Q1e, solution_ex1:3c</i></small>	type:mc batch:1 exam2024 priority:high	AI Digital Characters::00_Exam_MC_Traps
Recurrent neural networks (RNNs) can be used for tasks where the input is a sequence of tokens, such as language modeling and sequence classification.	<b>TRUE</b><br>RNNs maintain hidden state across time steps — used for LM, sentiment classification, etc.<br><br><small><i>Source: exam2024:Q1f, L03:rnn</i></small>	type:mc batch:1 exam2024	AI Digital Characters::00_Exam_MC_Traps
Pruning involves removing the most impactful connections from a neural network.	<b>FALSE</b><br>Pruning removes <b>least important</b> weights/neurons to compress the model while preserving performance.<br><br><small><i>Source: exam2024:Q1g, solution_ex2:2b</i></small>	type:mc batch:1 exam2024 priority:high	AI Digital Characters::00_Exam_MC_Traps
Quantization reduces both the model size and the model accuracy.	<b>TRUE</b><br>Quantization maps weights/activations to lower precision → smaller model, but typically <b>some accuracy loss</b> (though techniques like SmoothQuant mitigate this).<br><br><small><i>Source: exam2024:Q1h, L05:quantization</i></small>	type:mc batch:1 exam2024	AI Digital Characters::00_Exam_MC_Traps
Parameter-efficient fine-tuning operates only on a true subset of the model.	<b>TRUE</b><br>PEFT (LoRA, adapters) freezes most weights and trains only a <b>small subset</b> of additional parameters.<br><br><small><i>Source: exam2024:Q1i, solution_ex2:1c</i></small>	type:mc batch:1 exam2024 priority:high	AI Digital Characters::00_Exam_MC_Traps
The Griffin-Lim algorithm reconstructs the phase information iteratively from just the magnitude spectrogram without using any learned parameters.	<b>TRUE</b><br>Griffin-Lim is an iterative phase-estimation algorithm — no neural network, uses magnitude spectrogram only.<br><br><small><i>Source: exam2024:Q1j, solution_ex3:3a</i></small>	type:mc batch:1 exam2024 priority:high	AI Digital Characters::00_Exam_MC_Traps
A nuclear accent is the last accent in a phrase and is perceived as more prominent.	<b>TRUE</b><br>The nuclear (phrase-final) accent is the most prominent accent in an intonation phrase.<br><br><small><i>Source: exam2024:Q1k, L08:prosody</i></small>	type:mc batch:1 exam2024	AI Digital Characters::00_Exam_MC_Traps
In FastSpeech, the speech speeds up when we repeat the encoder states by doubling the predicted duration.	<b>FALSE</b><br>Repeating encoder states <b>lengthens</b> the output → speech <b>slows down</b>. Fewer repeats → faster speech.<br><br><small><i>Source: exam2024:Q1l, solution_ex3:2c</i></small>	type:mc batch:1 exam2024 priority:high	AI Digital Characters::00_Exam_MC_Traps
Autonomous agents are characterized by their ability to operate independently, react to their environment, and plan proactively. They also have control over their internal states.	<b>TRUE</b><br>Classic agent properties: autonomy, reactivity, pro-activeness, social ability (lecture L12).<br><br><small><i>Source: exam2024:Q1m, L12:agents</i></small>	type:mc batch:1 exam2024 priority:high	AI Digital Characters::00_Exam_MC_Traps
Dialogue trees offer high flexibility in responding to unexpected queries, but they are difficult to scale and require manual design for new topics.	<b>FALSE</b><br>Dialogue trees have <b>low flexibility</b> for unexpected queries; they <b>are</b> hard to scale (second part is true).<br><br><small><i>Source: exam2024:Q1n, solution_ex5:1b</i></small>	type:mc batch:1 exam2024 priority:high	AI Digital Characters::00_Exam_MC_Traps
In a reinforcement learning algorithm, the reward should be differentiable so that we can run back-propagation to train the policy based on data.	<b>FALSE</b><br>Rewards are <b>not required to be differentiable</b>. Policy gradients estimate gradients via sampled trajectories.<br><br><small><i>Source: exam2024:Q1o, solution_ex5:1e</i></small>	type:mc batch:1 exam2024 priority:high	AI Digital Characters::00_Exam_MC_Traps
We must collect reinforcement learning trajectories from agent-environment interactions when employing Proximal Policy Optimization (PPO) to learn the policy. The collected reinforcement learning trajectories can have various lengths.	<b>TRUE</b><br>PPO is on-policy: collects rollouts from current policy; trajectories can vary in length.<br><br><small><i>Source: exam2024:Q1p, L14:ppo</i></small>	type:mc batch:1 exam2024 priority:high	AI Digital Characters::00_Exam_MC_Traps
The animation principle "Slow In and Slow Out" emphasizes linear motion.	<b>FALSE</b><br>Slow In / Slow Out means <b>ease in and ease out</b> — acceleration/deceleration at start and end, not constant linear speed.<br><br><small><i>Source: exam2024:Q1q, L10:principles</i></small>	type:mc batch:1 exam2024 priority:high	AI Digital Characters::00_Exam_MC_Traps
Facial muscles attach to a bone and connect to the skin. When they contract, they create dynamic wrinkles that form perpendicular to the direction of muscle contraction.	<b>TRUE</b><br>Facial muscles attach bone-to-skin; wrinkles form <b>perpendicular</b> to contraction direction (lecture L10).<br><br><small><i>Source: exam2024:Q1r, L10:anatomy</i></small>	type:mc batch:1 exam2024	AI Digital Characters::00_Exam_MC_Traps
Linear blend skinning can handle large joint rotation angles without visual artifacts.	<b>FALSE</b><br>LBS causes <b>candy-wrapper</b> twisting and volume loss at large joint angles due to linear rotation blending.<br><br><small><i>Source: exam2024:Q1s, solution_ex4:2a5</i></small>	type:mc batch:1 exam2024 priority:high	AI Digital Characters::00_Exam_MC_Traps
Artifact detection is essential in affective computing because physiological signals like EEG and ECG can be contaminated by noise from muscle movements or environmental interference.	<b>TRUE</b><br>Biosignals need artifact removal (movement, EMG contamination, etc.) before reliable affect inference.<br><br><small><i>Source: exam2025:Q1a, L02:artifact_detection</i></small>	type:mc batch:1 exam2025 priority:high	AI Digital Characters::00_Exam_MC_Traps
In backpropagation, the gradient of the loss with respect to each weight is computed independently of the activation functions used in the network.	<b>FALSE</b><br>Backprop uses the <b>chain rule</b> — gradients depend on activation function derivatives (ReLU, sigmoid, etc.).<br><br><small><i>Source: exam2025:Q1b, L03:neural_nets</i></small>	type:mc batch:1 exam2025	AI Digital Characters::00_Exam_MC_Traps
Discrete Fourier Transform (DFT) is commonly applied to short-time frames of a speech signal to analyze how frequency content changes over time.	<b>TRUE</b><br>STFT: window speech → DFT per frame → spectrogram over time.<br><br><small><i>Source: exam2025:Q1c, L04:feature_extraction</i></small>	type:mc batch:1 exam2025 priority:high	AI Digital Characters::00_Exam_MC_Traps
Prosody refers exclusively to the spectral features of speech, such as formants and harmonics, without involving rhythm or intonation.	<b>FALSE</b><br>Prosody includes <b>pitch, duration, loudness, rhythm, intonation</b> — not just spectral features.<br><br><small><i>Source: exam2025:Q1d, solution_ex3:1c</i></small>	type:mc batch:1 exam2025 priority:high	AI Digital Characters::00_Exam_MC_Traps
Parameter-Efficient Fine-Tuning methods (PEFT) like LoRA and adapters reduce computational cost by freezing the majority of a pre-trained model's weights and learning only a small number of additional parameters.	<b>TRUE</b><br>PEFT keeps most LLM weights frozen; trains low-rank adapters or small added layers.<br><br><small><i>Source: exam2025:Q1e, solution_ex2:1c</i></small>	type:mc batch:1 exam2025 priority:high	AI Digital Characters::00_Exam_MC_Traps
Prompt engineering can be used to implicitly control the chatbot's tone, style, and persona without modifying the underlying model.	<b>TRUE</b><br>System prompts, role prompting, and style instructions shape output without weight updates.<br><br><small><i>Source: exam2025:Q1f, L06:prompting</i></small>	type:mc batch:1 exam2025	AI Digital Characters::00_Exam_MC_Traps
Hybrid fusion strategies eliminate the need for modality-specific embedding by treating all modalities identically throughout the model pipeline.	<b>FALSE</b><br>Hybrid fusion <b>combines</b> early and late fusion — still uses modality-specific encoders/embeddings.<br><br><small><i>Source: exam2025:Q1g, L07:multimodality</i></small>	type:mc batch:1 exam2025	AI Digital Characters::00_Exam_MC_Traps
Stress depends on sentence context, while accent is fixed within the word.	<b>TRUE</b><br>Word accent is lexical (fixed); sentence stress/placement varies with context and emphasis.<br><br><small><i>Source: exam2025:Q1h, L08:prosody</i></small>	type:mc batch:1 exam2025	AI Digital Characters::00_Exam_MC_Traps
WaveNet uses causal, dilated convolutions to model long-range temporal dependencies in sequential data such as speech.	<b>TRUE</b><br>WaveNet: stacked dilated causal convolutions for autoregressive waveform generation.<br><br><small><i>Source: exam2025:Q1i, solution_ex3:3a</i></small>	type:mc batch:1 exam2025 priority:high	AI Digital Characters::00_Exam_MC_Traps
In Linear Blend Skinning, each vertex is influenced by exactly one bone.	<b>FALSE</b><br>LBS blends influences from <b>multiple bones</b> with weights w_ij summing to 1.<br><br><small><i>Source: exam2025:Q1j, solution_ex4:1c</i></small>	type:mc batch:1 exam2025 priority:high	AI Digital Characters::00_Exam_MC_Traps
Linear interpolation between animation key frames often results in unnatural or abrupt motion rather than smooth transitions.	<b>TRUE</b><br>Pure linear interpolation lacks ease-in/out → mechanical motion; Disney's Slow In/Out fixes this.<br><br><small><i>Source: exam2025:Q1k, L10:principles</i></small>	type:mc batch:1 exam2025	AI Digital Characters::00_Exam_MC_Traps
In normalizing flows, the model learns only the prior distribution pZ, while the transformation functions remain fixed.	<b>FALSE</b><br>Normalizing flows learn <b>invertible transformation functions</b>; change of variables adjusts density via Jacobian determinant.<br><br><small><i>Source: exam2025:Q1l, solution_ex4:1h</i></small>	type:mc batch:1 exam2025 priority:high	AI Digital Characters::00_Exam_MC_Traps
An autonomous agent's actions are determined solely by its immediate perception of the environment.	<b>FALSE</b><br>Agents also use <b>internal state, goals, and proactive planning</b> — not perception alone.<br><br><small><i>Source: exam2025:Q1m, solution_ex5:1a</i></small>	type:mc batch:1 exam2025 priority:high	AI Digital Characters::00_Exam_MC_Traps
A primary disadvantage of dialogue trees is their limited flexibility, which makes it difficult for them to handle unexpected user queries or engage in open-ended conversations.	<b>TRUE</b><br>Dialogue trees are rigid, manually authored, poor at open-domain unexpected input.<br><br><small><i>Source: exam2025:Q1n, solution_ex5:1b</i></small>	type:mc batch:1 exam2025 priority:high	AI Digital Characters::00_Exam_MC_Traps
In on-policy reinforcement learning, data collected from older versions of the policy can be stored in a replay buffer and reused to improve training efficiency.	<b>FALSE</b><br>On-policy methods (PPO) use <b>current policy</b> data only. Replay buffers are off-policy (DQN, SAC).<br><br><small><i>Source: exam2025:Q1o, L14:rl_algorithms</i></small>	type:mc batch:1 exam2025 priority:high	AI Digital Characters::00_Exam_MC_Traps
