#separator:tab
#html:true
#deck:AI Digital Characters::00_Exam_MC_Traps
Front	Back	Tags
The Mel scale is a linear scale that maps frequency to pitch in speech recognition.	<b>FALSE</b><br>Mel is a <b>logarithmic/perceptual</b> scale: Mel = 1127·ln(1 + f/700). It approximates human pitch perception.<br><br><small><i>Source: exam2024:Q1a, L04:mel</i></small>	type:mc batch:1 exam2024 priority:high
The RNN-Transducer model is designed for offline decoding and does not support streaming speech recognition.	<b>FALSE</b><br>RNN-T <b>supports streaming/online</b> decoding via the prediction network and joint network with blank tokens.<br><br><small><i>Source: exam2024:Q1b, L04:architectures</i></small>	type:mc batch:1 exam2024 priority:high
According to the James-Lange theory, the perception of an emotion-arousing stimulus leads simultaneously to the experience of emotion and physiological (bodily) changes.	<b>FALSE</b><br>James-Lange: <b>Stimulus → Physiological response → Emotion</b> (sequential). Simultaneous emotion + body is Cannon-Bard.<br><br><small><i>Source: exam2024:Q1c, solution_ex1:2a</i></small>	type:mc batch:1 exam2024 priority:high
Using convex optimization, a skin conductance signal can be decomposed into phasic and tonic components.	<b>TRUE</b><br>SC decomposition into fast phasic (event-related) and slow tonic (baseline) components uses convex optimization (lecture L02).<br><br><small><i>Source: exam2024:Q1d, L02:skin_conductance</i></small>	type:mc batch:1 exam2024 priority:high
In the transformer model, positional encoding is used to provide the model with information about the order of tokens in the input sequence.	<b>TRUE</b><br>Self-attention is permutation-invariant; positional encodings inject <b>token position</b> information.<br><br><small><i>Source: exam2024:Q1e, solution_ex1:3c</i></small>	type:mc batch:1 exam2024 priority:high
Recurrent neural networks (RNNs) can be used for tasks where the input is a sequence of tokens, such as language modeling and sequence classification.	<b>TRUE</b><br>RNNs maintain hidden state across time steps — used for LM, sentiment classification, etc.<br><br><small><i>Source: exam2024:Q1f, L03:rnn</i></small>	type:mc batch:1 exam2024
Pruning involves removing the most impactful connections from a neural network.	<b>FALSE</b><br>Pruning removes <b>least important</b> weights/neurons to compress the model while preserving performance.<br><br><small><i>Source: exam2024:Q1g, solution_ex2:2b</i></small>	type:mc batch:1 exam2024 priority:high
Quantization reduces both the model size and the model accuracy.	<b>TRUE</b><br>Quantization maps weights/activations to lower precision → smaller model, but typically <b>some accuracy loss</b> (though techniques like SmoothQuant mitigate this).<br><br><small><i>Source: exam2024:Q1h, L05:quantization</i></small>	type:mc batch:1 exam2024
Parameter-efficient fine-tuning operates only on a true subset of the model.	<b>TRUE</b><br>PEFT (LoRA, adapters) freezes most weights and trains only a <b>small subset</b> of additional parameters.<br><br><small><i>Source: exam2024:Q1i, solution_ex2:1c</i></small>	type:mc batch:1 exam2024 priority:high
The Griffin-Lim algorithm reconstructs the phase information iteratively from just the magnitude spectrogram without using any learned parameters.	<b>TRUE</b><br>Griffin-Lim is an iterative phase-estimation algorithm — no neural network, uses magnitude spectrogram only.<br><br><small><i>Source: exam2024:Q1j, solution_ex3:3a</i></small>	type:mc batch:1 exam2024 priority:high
A nuclear accent is the last accent in a phrase and is perceived as more prominent.	<b>TRUE</b><br>The nuclear (phrase-final) accent is the most prominent accent in an intonation phrase.<br><br><small><i>Source: exam2024:Q1k, L08:prosody</i></small>	type:mc batch:1 exam2024
In FastSpeech, the speech speeds up when we repeat the encoder states by doubling the predicted duration.	<b>FALSE</b><br>Repeating encoder states <b>lengthens</b> the output → speech <b>slows down</b>. Fewer repeats → faster speech.<br><br><small><i>Source: exam2024:Q1l, solution_ex3:2c</i></small>	type:mc batch:1 exam2024 priority:high
