#separator:tab
#html:true
#deck:AI Digital Characters::02_Attention_Deep_Learning
Front	Back	Tags
Scaled dot-product attention: formula for score and context vector?	Score: s_t = (q · x_t) / √d<br>Weights: a_t = softmax(s_t)<br>Context: c = Σ_t a_t · x_t<br><br><small><i>Source: exam2024:Q3, L03:attention</i></small>	type:basic batch:1 priority:high
Why does the transformer need positional encoding?	Self-attention is <b>permutation-invariant</b> — without positional encoding, token order is lost.<br><br><small><i>Source: exam2024:Q1e, solution_ex1:3c</i></small>	type:basic batch:1 priority:high
How do RNNs capture long-range dependencies?	By maintaining a <b>hidden state</b> updated at each time step — acts as memory across the sequence.<br><br><small><i>Source: solution_ex1:3a</i></small>	type:basic batch:1
Exam 2024 — Attention: q=[1,0,1], x₁=[1,0,0], x₂=[0,1,0], x₃=[1,1,0], d=3.<br>Compute similarity scores s_t = (q·x_t)/√d.	1. s₁ = (1+0+0)/√3 = <b>1/√3 ≈ 0.577</b><br>2. s₂ = (0+0+0)/√3 = <b>0</b><br>3. s₃ = (1+0+0)/√3 = <b>1/√3 ≈ 0.577</b><br><br><small><i>Source: exam2024:Q3a</i></small>	type:calc batch:1 priority:high
Exam 2024 — Attention (continued): scores s₁=s₃=1/√3, s₂=0.<br>Compute attention weights via softmax.	exp(1/√3) ≈ 1.947<br>exp(0) = 1<br>Sum = 1.947 + 1 + 1.947 = 4.894<br><b>a₁ ≈ 0.398, a₂ ≈ 0.204, a₃ ≈ 0.398</b><br><br><small><i>Source: exam2024:Q3b</i></small>	type:calc batch:1 priority:high
Exam 2024 — Attention (continued): a₁≈0.398, a₂≈0.204, a₃≈0.398.<br>Compute context vector c = Σ a_t · x_t.	c = 0.398·[1,0,0] + 0.204·[0,1,0] + 0.398·[1,1,0]<br>= [0.796, 0.602, 0]<br><b>c ≈ [0.80, 0.60, 0]</b> (rounded)<br><br><small><i>Source: exam2024:Q3c</i></small>	type:calc batch:1 priority:high
Neural network unit: formulas for z and output a?	z = w·x + b (weighted sum)<br>a = σ(z) (activation function applied to z)<br><br><small><i>Source: L03:neural_unit</i></small>	type:basic batch:2
Exercise 1: w=[2.2,−3,1.5], x=[0,5,8], b=3, ReLU activation. Compute output.	z = 2.2·0 + (−3)·5 + 1.5·8 + 3 = 0<br>ReLU(0) = <b>0</b><br><br><small><i>Source: solution_ex1:3b</i></small>	type:calc batch:2
Why do standard RNNs suffer from vanishing gradients?	Repeated multiplication of gradients through many time steps → gradients shrink exponentially, so long-range dependencies are hard to learn.<br><br><small><i>Source: exam2025:Q3a-ii, L03:rnn_problems</i></small>	type:basic batch:2 priority:high
LSTM gating mechanism — three gates and their role?	<b>Forget gate:</b> what to discard from cell state.<br><b>Input gate:</b> what new info to store.<br><b>Output gate:</b> what to output.<br>Cell state highway mitigates vanishing gradients.<br><br><small><i>Source: exam2025:Q3a-iii, L03:LSTM</i></small>	type:basic batch:2 priority:high
Encoder-decoder architecture — how does it work?	Encoder maps input sequence (x₁…x_T) to context vector h_T.<br>Decoder uses h_T to initialize autoregressive generation of output sequence (y₁…y_m).<br><br><small><i>Source: L03:encoder_decoder</i></small>	type:basic batch:2
Teacher forcing vs. inference in encoder-decoder training?	<b>Training:</b> feed gold previous token y_{t−1} as decoder input.<br><b>Inference:</b> feed model's own previous prediction ŷ_{t−1}.<br><br><small><i>Source: L03:teacher_forcing</i></small>	type:basic batch:2
Self-attention vs. cross-attention in Transformers?	<b>Self-attention:</b> Q,K,V from same sequence (encoder or masked decoder).<br><b>Cross-attention:</b> Q from decoder, K,V from encoder output.<br><br><small><i>Source: L03:attention, L03:transformers</i></small>	type:basic batch:2
Why masked multi-head attention in the Transformer decoder?	Prevents positions from attending to <b>future</b> tokens — at test time future tokens are unknown (no cheating).<br><br><small><i>Source: L03:masked_attention</i></small>	type:basic batch:2 priority:high
Purpose of multi-head attention?	Multiple attention heads let the model attend to <b>different types of relationships</b> simultaneously (e.g., syntactic vs. semantic).<br><br><small><i>Source: L03:multi_head</i></small>	type:basic batch:2
Transformer skip connections and layer normalization — why?	<b>Skip connections:</b> h_res = c + e — eases gradient flow.<br><b>Layer norm:</b> normalizes across sequence dimension per example (not batch norm).<br><br><small><i>Source: L03:transformers</i></small>	type:basic batch:2
