#separator:tab
#html:true
#deck:AI Digital Characters::03_Speech_Recognition_Mel
Front	Back	Tags
Mel scale formula (Hz → Mel)?	<b>Mel = 1127 · ln(1 + f/700)</b><br>Inverse: f = 700 · (e^(Mel/1127) − 1)<br><br><small><i>Source: exam2024:Q4, solution_ex1:4b</i></small>	type:basic batch:1 priority:high
What is Word Error Rate (WER)?	WER = (S + D + I) / N<br>S=substitutions, D=deletions, I=insertions, N=words in reference.<br>Lower is better.<br><br><small><i>Source: L04:wer, solution_ex3:1i</i></small>	type:basic batch:1 priority:high
Mel filter banks: triangular filters — what are start, peak, end?	For N filters, use N+2 equally spaced Mel points. Filter i peaks at point i+1, spans from point i to point i+2.<br><br><small><i>Source: exam2024:Q4, solution_ex1:4b</i></small>	type:basic batch:1
Exam 2024 Mel filters: 200–8000 Hz, 3 filters, 5 Mel points (i=0..4).<br>Compute Mel endpoints and first Hz point.	M_low = 1127·ln(1+200/700) ≈ <b>301 Mel</b><br>M_high = 1127·ln(1+8000/700) ≈ <b>2840 Mel</b><br>Δ = (2840−301)/4 ≈ 635<br>M₀ ≈ 301 → f₀ ≈ <b>200 Hz</b> (check: matches lower bound)<br><br><small><i>Source: exam2024:Q4</i></small>	type:calc batch:1 priority:high
What is a phone in speech recognition?	A speech sound represented by a symbol (ARPAbet/IPA). A string of phones = pronunciation of a word.<br><br><small><i>Source: L04:phonetics</i></small>	type:basic batch:2
Relationship between F0, pitch, and the Mel scale?	F0 = lowest frequency of periodic waveform. <b>Pitch</b> = perceptual correlate of F0 (not linear above ~1 kHz). <b>Mel scale</b> models perceived pitch spacing.<br><br><small><i>Source: L04:pitch</i></small>	type:basic batch:2 priority:high
Exercise 1 speech: waveform period T=0.2 s, max amplitude A=2.<br>Compute frequency f and identify amplitude.	f = 1/T = 1/0.2 = <b>5 Hz</b><br>Amplitude A = <b>2</b> (max value on y-axis).<br><br><small><i>Source: solution_ex1:4a</i></small>	type:calc batch:2
Speech feature extraction pipeline (after windowing)?	Window speech → <b>DFT/FFT</b> per frame → power spectrum → <b>Mel filter bank</b> → log → feature vector (e.g. 80-dim).<br><br><small><i>Source: L04:feature_extraction</i></small>	type:basic batch:2 priority:high
Typical windowing parameters for speech?	Window size: <b>20–40 ms</b>. Stride: ~<b>50%</b> overlap. Hamming window reduces spectral leakage at frame edges.<br><br><small><i>Source: L04:windowing</i></small>	type:basic batch:2
Hamming window formula and purpose?	w(n) = 0.54 − 0.46·cos(2πn/(N−1))<br>Tapers frame edges → minimizes discontinuities and spectral leakage.<br><br><small><i>Source: L04:hamming</i></small>	type:basic batch:2
